Entidad o Division,Titulo de Investigación,ids,Periodo,Detalle de Investigación,palabras clave,Decálogo,Gobernanza y capacidades TOPP,Sectores impulsores,Brechas Atendidas,Sectores Atendidos,Preguntas Agenda Común,Tópicos CEPAL
DDPE,Desarrollo económico local,DDPE-25/26-3,25/26,La investigación busca expandir estudios realizados previamente en Chile y Colombia sobre la acción de los gobiernos locales en políticas de desarrollo productivo a través de una lectura y sistematización de planes de desarrollo municipal en otros países de la región. Se busca responder a las preguntas: ­   ¿Cuánta variabilidad existe en el rol que asumen los gobiernos locales en las PDP en distintos países? ­  ¿Qué factores influyen en el caso de cada país?,"desarrollo económico, políticas de desarrollo, gobiernos locales, planes de desarrollo municipal, desarrollo productivo","La principal brecha abordada es la de crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal. Se abordan los siguientes subtemas: Políticas de desarrollo productivo, desarrollo económico local y regional, desarrollo territorial.",La investigación tiene énfasis en las capacidades políticas.  Subtemas: la colaboración y coordinación entre los diferentes niveles de gobierno para las PDP,"Los sectores impulsores abordados son: Exportación de servicios modernos o habilitados por las TIC; transición energética: energías renovables, hidrógeno verde, litio; economía circular; bioeconomía: agricultura sostenible, recursos genéticos, bioindustrialización; agricultura para la seguridad alimentaria; gestión sostenible del agua; turismo sostenible. Subtemas:  Todos los que abordan los planes de desarrollo municipal de los países.",1,"4, 8, 10, 11, 12, 13, 14",,"DESARROLLO TERRITORIAL, PLANIFICACIÓN, GOBERNANZA DE LOS RECURSOS NATURALES, POLÍTICAS PÚBLICAS, DESARROLLO SOSTENIBLE, CRECIMIENTO ECONÓMICO, GESTIÓN PÚBLICA"
DDPE,Productividad y bienestar en el trabajo,DDPE-25/26-4,25/26,"El estudio utiliza la base de datos del Cuestionario de Evaluación del Ambiente Laboral - Salud Mental (CEAL-SM) de la Superintendencia de Seguridad Social de Chile, y relaciona el desempeño de cada empresa en cuanto a bienestar laboral con estadísticas de productividad a nivel de empresa proveniente de la base de datos del Servicio de Impuestos Internos de Chile. Se busca responder a la pregunta: ­  ¿Cómo se correlaciona la productividad de las empresas con diferentes aspectos del bienestar laboral?  (la hipótesis de trabajo es que ambas tienen una correlación positiva y estadísticamente significativa).  Asimismo, se busca identificar algunos factores que median y condicionan esta correlación (tamaño de empresa, sector de actividad económica, prácticas gerenciales, entre otros).","productividad, bienestar laboral, desempeño empresarial, ambiente laboral, salud mental, estadísticas laborales, correlación positiva","La principal brecha abordada es la del crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal. El subtema es productividad, empleo formal.","El enfoque de la investigación es en las capacidades prospectivas relacionadas con: el apoyo al diseño y ejecución de políticas públicas de Estado, especialmente de aquellas dirigidas a la productividad y al bienestar laboral", Todos los sectores (Subtemas: Todos los sectores del sector formal),1,,Productividad:¿Qué factores explican la dinámica de la productividad laboral?,"PRODUCTIVIDAD, EMPLEO, SALUD, DESARROLLO SOSTENIBLE"
DDPE,Evaluación y monitoreo de políticas de desarrollo productivo,DDPE-25/26-5,25/26,La investigación busca responder a las siguientes preguntas: ­   ¿Cuáles son los sistemas de evaluación y monitoreo de políticas de desarrollo productivo en la región? ­   ¿Cuáles son los mecanismos institucionales o gobernanza? ­   ¿Cuál es la agenda de evaluación de estas políticas en la región? ­   ¿Cuáles son las experiencias destacadas en el marco de estrategias costo-eficientes? ­   ¿Cuáles son las recomendaciones para implementar sistemas de evaluación y monitoreo que permitan eficiencia en el uso de recursos públicos y a la vez aprender de las políticas implementadas? ,"desarrollo productivo, evaluación de políticas, monitoreo, sistemas de evaluación, gobernanza, agenda de evaluación, estrategias costo-eficientes, eficiencia en el uso de recursos públicos",Temática transversal a todas las brechas identificadas  Subtema: gobernanza y gestión pública del desarrollo productivo ,Alineación con gobernanza experimentalista como enfoque de las políticas de desarrollo productivo Sistemas de evaluación y monitoreo de políticas de desarrollo productivo.,"Transversal a todos los sectores, ",,,,"EVALUACIÓN DE POLÍTICAS Y PROGRAMAS, DESARROLLO INDUSTRIAL, PRODUCTIVIDAD, GESTIÓN PÚBLICA, POLÍTICAS PÚBLICAS"
DDPE,"Instituciones e instrumentos de política de ciencia, tecnología e innovación (CTI)",DDPE-25/26-6,25/26,"Esta sería una línea de investigación permanente que apoya el trabajo de la Conferencia de Ciencia, Innovación y TIC. Se requiere tener conocimiento sobre la institucionalidad vigente y los instrumentos de apoyo a la CTI en los países de la región, así como de referentes de fuera de la región. Entre las preguntas que este mapeo ayudaría a contestar se encuentran: ­ ¿Cuáles son los arreglos institucionales que contribuyen a una mejor gobernanza del sistema nacional de innovación? ­ ¿Cómo fomentar una relación más fructífera entre la institucionalidad de apoyo a la ciencia y la investigación básica y la de apoyo a la innovación empresarial y el desarrollo productivo? ­ ¿Cómo mejorar la articulación y coordinación de los esfuerzos en materia de ciencia, tecnología e innovación con el resto de los esfuerzos de desarrollo productivo? ­ ¿Cómo lograr que exista una mayor continuidad en las políticas? ­ ¿Qué tipo de instrumentos de apoyo son los más efectivos y factibles de implementar, dependiendo de los diferentes contextos? ­ ¿Cuántos recursos se deberían destinar a la ciencia básica, la ciencia aplicada y la difusión de tecnología si se quiere impulsar una ciencia, tecnología e innovación para el desarrollo productivo? ­ ¿Cómo diseñar e implementar instrumentos que permitan orientar esfuerzos y recursos hacia áreas o desafíos estratégicos (por ejemplo, a través de misiones)? ­ ¿Cómo incrementar la capacidad de dar seguimiento y evaluar las políticas de ciencia, tecnología e innovación y la capacidad de aprender de ese seguimiento y evaluación?  ","instituciones, política, ciencia, tecnología, innovación, gobernanza, investigación, desarrollo productivo, articulación, coordinación, políticas, instrumentos de apoyo, recursos, evaluación","La principal brecha abordada es el crecimiento económico bajo, con baja productividad. Los subtemas específicos se definirán una vez que estén operando los grupos de trabajo","La investigación incluye a las instituciones responsables de las políticas de CTI, por lo que se considerarán sus capacidades técnicas, operativas, políticas y prospectivas. ","No está a priori considerado sectores específicos. Sin embargo, se espera que en la Conferencia de CITIC se prioricen al menos los de la industria manufacturera de la salud (farmacéutica y dispositivos médicos) y de transición energética.  ",1,"2, 4, 8","¿Cuál es el espacio, y cuáles serían las estrategias de política pública, para avanzar hacia una coordinación de políticas regionales en materia de ciencia, tecnología e innovación?","INNOVACIÓN CIENCIA Y TECNOLOGÍA, GESTIÓN PÚBLICA, PLANIFICACIÓN, DESARROLLO SOSTENIBLE, POLÍTICAS PÚBLICAS, EVALUACIÓN DE POLÍTICAS Y PROGRAMAS"
DDPE,Oportunidades y desafíos de la exportación de servicios modernos o habilitados por las TIC,DDPE-25/26-7,25/26,­ ¿Cuáles son las principales barreras y desafíos que enfrentan los países de ALC para impulsar el desarrollo de los servicios modernos? ­ ¿Qué políticas e instrumentos se deben implementar para ayudar al desarrollo de una industria de servicios modernos habilitados por las TIC?,"exportación de servicios, tic, desarrollo económico, comercio internacional, industria de servicios, barreras comerciales, políticas públicas",8) Insuficiente integración económica regional y 6) Brecha digital ,Se evalúa el potencial de los servicios modernos o habilitados por la TIC (ej. Fintech) en la región y las barreras que enfrentan al momento de generar nuevas oportunidades de mercado a nivel global (Actualmente representan el 2% mundial),"4) Exportación de servicios modernos o habilitados por las TIC, pero no exclusivamente dado que la digitalización es transversal a todos los sectores","6, 8",4,,"COMERCIO DE BIENES Y SERVICIOS, TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES (TIC), INNOVACIÓN Y DIVERSIFICACIÓN EXPORTADORA, DESARROLLO INDUSTRIAL"
DDPE,Fomento de la inversión y emprendimiento en inteligencia artificial: oportunidades y desafíos en sectores económicos clave de América Latina,DDPE-25/26-8,25/26,"­ ¿Cuál es el grado de preparación de los países de la región para el desarrollo de una industria vinculada al despliegue de la IA? ­ ¿Cómo los sectores productivos estratégicos de la región (agroindustria, salud, finanzas, entre otros) están utilizando la IA? ­ ¿Qué aspectos regulatorios deben acompañar el proceso de desarrollo y aplicabilidad de la IA en los sectores y países de la región?","inteligencia artificial, inversión, emprendimiento, sectores económicos, industria, agroindustria, salud, finanzas, regulación","6) Brecha digital y de adopción tecnológica en el tejido productivo, especialmente de inteligencia artificial","Análisis de los obstáculos y oportunidades para promover la inversión y el emprendimiento en inteligencia artificial (IA) dentro de sectores económicos clave en América Latina, incluyendo agroindustria, salud, finanzas, manufactura y energía. El objetivo es proporcionar recomendaciones de políticas públicas que faciliten el crecimiento y adopción de la IA","3) Fabricación avanzada; 4) Exportación de servicios modernos o habilitados por las TIC; 7) Gobierno digital; 11) Bioeconomía: agricultura sostenible, recursos genéticos, bioindustrialización; 14) Turismo sostenible; ",6,"3, 4, 7, 11, 14","¿Cuáles son los principales factores que impulsan la migración de talento altamente calificado (por ejemplo, el talento tecnológico en IA) desde ALC hacia países desarrollados?","BIG DATA, CIENCIA DE DATOS, INNOVACIÓN CIENCIA Y TECNOLOGÍA, DESARROLLO INDUSTRIAL, ESTRATEGIAS EMPRESARIALES, REGULACIÓN"
DDPE,Relevamiento de nuevos datos cuantitativos y cualitativos relevantes para comprender el desarrollo digital de la región ,DDPE-25/26-9,25/26,"Esta investigación y relevamiento sobre datos cuantitativos y cualitativos relevantes permitiría identificar: ­ ¿Qué datos e indicadores requerimos para identificar las principales políticas e instrumentos para impulsas una transformación digital más inclusiva, productiva y sostenible?  ­ ¿Qué datos e información requerimos trabajar para comprender no solo la situación actual, sino los escenarios futuros de la transformación digital y los ámbitos sobre los cuáles debemos trabajar en mayor profundidad? ","desarrollo digital, transformación digital, políticas digitales, instrumentos digitales, inclusión digital, productividad digital, sostenibilidad digital, datos cuantitativos, datos cualitativos, indicadores digitales",6) Brecha digital en los diferentes ámbitos relevantes para el desarrollo,"Se espera profundizar en la identificación y análisis de información relevante para comprender la transformación digital y su relevancia para el desarrollo, aportando a la capacidad de medición y análisis de información relevante para el desarrollo digital de la región",Transversal,6,,¿Qué datos e información se requiere para comprender la situación actual y los escenarios futuros de la transformación digital en la región?,"BIG DATA, CIENCIA DE DATOS, TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES (TIC)"
DDPE,Flagship “La inversión extranjera directa en América Latina y el Caribe 2025” ,DDPE-25/26-10,25/26,"Estudio sobre la dinámica de los flujos de inversión extranjera directa (IED) en América Latina y el Caribe y de las estrategias empresariales que están detrás de ellos.El estudio busca responder a las siguientes preguntas: ­ ¿Cómo se comportan los flujos de IED?  ­ ¿Cuáles son las estrategias de las empresas transnacionales asociadas a esos flujos? ­ ¿Cuáles son las tendencias y perspectivas de la IED en minerales estratégicos? ¿Cuáles estrategias y políticas son más eficaces para atraer la inversión extranjera en ese ámbito, promover sus efectos positivos sobre el desarrollo productivo y sostenible de la economía receptora, y evitar aquellos negativos? ","inversión extranjera directa, flujos de inversión, estrategias empresariales, empresas transnacionales, minerales estratégicos, desarrollo productivo, economía receptora","La principal brecha abordada es el crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal. Como contexto también se consideran el desarrollo ambientalmente no sostenible y el cambio climático y la insuficiente integración económica regional. Entre los subtemas a estudiar se consideran las tendencias y perspectivas de la IED en minerales estratégicos, así como aspectos de la implementación de instrumentos de atracción de inversión extranjera a nivel subnacional (obstáculos y condiciones para una aplicación eficaz)  ",Se espera que la investigación aporte elementos que permitan a las instituciones públicas tomar en cuenta la dinámica de la IED en el diseño y aplicación de políticas públicas adecuadas a los diferentes contextos.,"Análisis de los sectores de destino de la IED a partir del cual se identifican sectores de oportunidad (por ejemplo, aquellos asociados a la transición energética, a los servicios modernos, al reacomodo geográfico de la producción y de las cadenas de valor a nivel mundial, etc). Esto se complementa con un estudio sobre la dinámica de la IED relacionada principalmente con la transición energética (con énfasis en litio) y la electromovilidad y el reacomodo geográfico de la producción y de las cadenas de valor a nivel mundial y, en segundo lugar, con la economía circular.  ","1, 5, 8","4, 8, 9, 10, 15","¿Cómo se comportan los flujos de IED, y cómo esta y otras fuentes de financiamiento pueden contribuir a reducir las limitaciones de financiamiento en la región?","INVERSIÓN EXTRANJERA DIRECTA, ESTRATEGIAS EMPRESARIALES, RECURSOS MINEROS, DESARROLLO SOSTENIBLE, COMERCIO INTERNACIONAL, DESARROLLO INDUSTRIAL"
DDPE,Análisis de género de las políticas de desarrollo productivo,DDPE-25/26-11,25/26,"Respecto a brechas de talento humano: ­   ¿Hay diferencias en las brechas de talento humano de varones y mujeres en los distintos países?  ­   Del lado de la demanda, ¿la elección de carreras tradicionales de las mujeres es un obstáculo para el cierre de brechas de talento humano?  ­   Del lado de la oferta educativa y formación profesional ¿las mujeres y los varones tienen las mismas oportunidades de acceso y participación en los nuevos empleos generados y en las habilidades demandadas (formación en habilidades digitales y habilidades blandas, por ejemplo)? ­   ¿Las experiencias de identificación y cierre de brechas de talento humano en la región han tenido en cuenta las diferencias entre varones y mujeres? ­   ¿Qué políticas de cierre de brechas se requieren para cerrar la brecha en el caso de las mujeres?  Respecto a inversión extranjera directa: ­   ¿Los proyectos de inversión extranjera en los países de la región incluyen políticas de reducción de las desigualdades de género? ­   ¿Las empresas extranjeras que cuentan con políticas de género en sus países de origen, replican estas mismas políticas en los países en donde invierten? ­   ¿Existen diferencias en las aproximaciones a la temática de género según el país de origen de las inversiones? ­   ¿Los países de la región tienen políticas de genero aplicadas a las inversiones extranjeras?  ­   ¿Han sido efectivas para reducir desigualdades de género en el mercado laboral?","desarrollo productivo, género, brechas de talento, educación, formación profesional, habilidades digitales, habilidades blandas, inversión extranjera directa, desigualdades de género, mercado laboral",Alta desigualdad de género Subtema: Inversión extranjera y brechas de talento humano,Se espera que la investigación contribuya a fortalecer las capacidades de funcionarios públicos para incluir la temática de género cuando trabajen en las áreas de inversión extranjera y talento humano ,"Sociedad del cuidado en la medida que es un tópico central al abordar las desigualdades de género en el desarrollo productivo, y es la contra cara de la mayor dedicación a los varones al mundo productivo-empresarial. ","2, 9",5,Brechas de género: ¿Qué políticas pueden reducir las brechas de género y promover la equidad de género?,"GÉNERO, DESARROLLO SOSTENIBLE, EDUCACIÓN, EMPLEO, INVERSIÓN EXTRANJERA DIRECTA, DESIGUALDAD, AUTONOMÍA ECONÓMICA DE LAS MUJERES"
DDPE,Transformación de los Sistemas Alimentarios (TSSAA) y desarrollo productivo sostenible e inclusivo,DDPE-WL-1,WL,"Principales preguntas que se buscaría responder: ­  ¿Cómo la transformación hacia SSAA más sostenibles puede contribuir al desarrollo productivo? ­  ¿Cuáles serían los principales elementos para considerar en ALC para la TSSAA? ­  ¿Cuáles son los roles de la bioeconomía y de la economía circular en la TSSAA? ­  ¿Cómo se vincula la T SSAA con otras transformaciones propuestas para impulsar los ODS?  En particular en acceso a energía, conectividad digital, y cambio climático, pérdida de biodiversidad y contaminación. ­ ¿Qué experiencias exitosas de TSSAA existen en la región? ­ ¿Cómo fomentar la innovación para incrementar la productividad agrícola y el acceso a nuevas tecnologías sin dejar a ningún agricultor atrás?  ","sistemas alimentarios, desarrollo sostenible, producción agrícola, bioeconomía, economía circular, objetivos de desarrollo sostenible, acceso a energía, conectividad digital, cambio climático, biodiversidad, contaminación, innovación, tecnologías agrícolas","Dado el carácter integrador de los SSAA, esta línea de investigación aborda varias brechas, a saber: 1) Crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal; 5) Desarrollo ambientalmente no sostenible y cambio climático;  6) Brecha digital; y 9) Alta desigualdad de género, ","Se espera que esta línea de investigación aporte conocimiento actualizado y basado en evidencia a las instituciones públicas sobre cómo potenciar la transición hacia SSAA más sostenibles e incluyentes a la vez que se incrementan la productividad y la creación de empleo decente y el acceso a recursos, sobre todo para las mujeres y los jóvenes rurales.","Los principales sectores impulsores abordados en esta línea de investigación son 11) Bioeconomía y 12) Agricultura para la seguridad alimentaria; Por los vínculos de los SSAA con otros sectores, tanto desde el punto de vista productivo como de sostenibilidad, la línea de investigación también abordará los sectores impulsores 8) Transición energética (bioenergía); 10) Economía circular; 13) Gestión sostenible del agua; y 14) Turismo sostenible;","1, 2, 5, 6, 9","4, 8, 10, 11, 12, 13, 14",¿Cómo puede la digitalización del sector agropecuario contribuir al desarrollo productivo y económico sostenible en América Latina y el Caribe?,"AGRICULTURA Y DESARROLLO RURAL, BIOECONOMÍA, ECONOMÍA CIRCULAR, DESARROLLO SOSTENIBLE, CAMBIO CLIMÁTICO, BIODIVERSIDAD, INNOVACIÓN Y DIVERSIFICACIÓN EXPORTADORA"
DDPE,Diálogos para el desarrollo,DDPE-WL-2,WL,"La investigación es de carácter teórico, y se basa en la revisión de la “filosofía del diálogo” desarrollada por Martin Buber, y su aplicación a la práctica del desarrollo actual en América Latina y el Caribe, con atención al diálogo entre el sector privado, público, academia y sociedad civil, al diálogo entre partidos políticos de distinta orientación ideológica, y al diálogo entre los poderes del Estado (legislativo, ejecutivo y judicial), con el fin de avanzar las políticas necesarias para acelerar el desarrollo de la región.  La pregunta que se busca responder es: ­ ¿Cuáles son las bases filosóficas para justificar la necesidad de profundizar los procesos de diálogo entre actores con diferentes ideas y formas de pensar? Se espera que lo anterior conduzca al desarrollo de una base conceptual que contribuye al desarrollo de mejores PDP.","diálogo, filosofía, desarrollo, sector privado, sector público, academia, sociedad civil, partidos políticos, poderes del estado, políticas públicas, procesos de diálogo, actores sociales","Todas las brechas, en la medida en que el diálogo social es relevante para avanzar políticas en todos los desafíos mencionados",Diálogo social y sus distintas modalidades,"Todos los sectores impulsores, en tanto pueden establecerse misiones o mesas de trabajo para cada uno a partir de diferentes modalidades de diálogo social",,,¿Qué tipos de participación y diálogos sociales han demostrado ser más efectivos para la resolución de conflictos y la toma de decisiones en diversos contextos?,"DEMOCRACIA, DESARROLLO SOSTENIBLE, DESARROLLO INCLUSIVO, POLÍTICAS PÚBLICAS, PLANIFICACIÓN Y PROSPECTIVA, PARTICIPACIÓN CIUDADANA"
DDPE,El desarrollo político en América Latina y el Caribe,DDPE-WL-3,WL,"El “desarrollo político” es un fenómeno estudiado por la política comparada en las ciencias políticas, y dice relación con el avance de los sistemas políticos hacia institucionalidades y gobernanzas más robustas y que contribuyan crecientemente al bienestar de la población (Hagopian, 2000; Kingsbury, 2007; Bates, 2015; Kingsbury, 2017; Besley, Marshall, & Persson, 2023). La investigación intenta responder a la pregunta sobre: ­ ¿Cuáles serían las variables a medir en los países de la región para identificar un indicador sintético de desarrollo político basándose en las estadísticas utilizadas por el World Governance Indicators del Banco Mundial y el V-Dem Project?","desarrollo político, sistemas políticos, institucionalidad, gobernanza, bienestar, población, indicador sintético, world governance indicators, v-dem project","Todas las brechas, en tanto las institucionalidades y gobernanzas son relevantes para hacer avanzar políticas en todos los desafíos mencionados (señalado en Salazar-Xirinachs (2024) como “gobernanza compleja y bajas capacidades institucionales”).",Capacidades TOPP y de diálogo social en términos agregados.,"Todos los sectores impulsores, en tanto la institucionalidad y gobernanza determina la capacidad para realizar políticas en todos los sectores impulsores.",,,,"DEMOCRACIA, GESTIÓN PÚBLICA, GOBIERNO ABIERTO, DERECHOS HUMANOS, DESARROLLO INCLUSIVO, POLÍTICAS PÚBLICAS"
DDPE,Desarrollo de políticas para habilidades digitales en la nueva economía: estrategias para América Latina y el Caribe,DDPE-WL-4,WL,­ ¿Con que tipo de habilidades digitales contamos hoy en los países de ALC?  ­ ¿Cuáles serán las habilidades que requeriremos para lograr una mayor apropiación de la transformación digital?  ­ ¿Qué programas e iniciativas existen en la región para fortalecer el desarrollo de las habilidades digitales?  ­ ¿Cómo podemos propiciar un mayor desarrollo de las habilidades que requeriremos vinculadas a los diferentes ámbitos de la transformación digital?  ,"desarrollo de políticas, habilidades digitales, nueva economía, estrategias, transformación digital",4) Sistemas educativos y de formación profesional débiles; ,"Este estudio abordará cómo los países de América Latina y el Caribe pueden desarrollar políticas efectivas para fomentar habilidades digitales en su fuerza laboral, adaptándose a las demandas de la nueva economía. Se analizarán las mejores prácticas globales, las necesidades específicas de la región",Transversal,4,,¿Qué políticas son necesarias para la formación de competencias para la inclusión digital a lo largo del ciclo de vida para que esta brecha no amplíe la desigualdad en la región?,"CAPACITACIÓN, TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES (TIC), EDUCACIÓN, INNOVACIÓN CIENCIA Y TECNOLOGÍA, EMPLEO, DESARROLLO INCLUSIVO, POLÍTICAS PÚBLICAS"
DDPE,Proyectos regionales de cooperación para una mayor integración productiva digital,DDPE-WL-5,WL,"­ ¿Cuál es el grado de preparación de los países para impulsar proyectos de cooperación conjunto para una mayor integración productiva? ­ ¿Qué proyectos conjuntos, y en qué áreas, se podría trabajar en la región o subregiones?  ­ ¿Cuáles factores serían relevantes en un proyecto de alcance regional y cómo se abordarían? ","cooperación regional, integración productiva, digitalización, proyectos conjuntos, desarrollo económico","1) Crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal y 8) Insuficiente integración económica regional ",Estudios que permiten identificar espacios de cooperación regional (a nivel de diferentes bloques subregionales) para potenciar una mayor integración productiva,Transversal ,"1, 8",,"¿En qué otras áreas es posible y deseable promover una mayor integración económica regional (por ejemplo, reducción de las brechas de género, brecha digital, políticas de promoción sectorial)?","COOPERACIÓN INTERNACIONAL, INTEGRACIÓN REGIONAL, DESARROLLO SOSTENIBLE, INNOVACIÓN CIENCIA Y TECNOLOGÍA, PRODUCTIVIDAD, CADENAS DE VALOR"
DDPE,Estado del arte de los instrumentos de atracción de la IED ,DDPE-WL-6,WL,El estudio trataría de responder a las siguientes preguntas:  ­ ¿Cuál es la situación de los instrumentos utilizados para la atracción de IED en la región? ­ ¿Cuáles son los principales retos para su aplicación eficaz? ,"inversión extranjera directa, atracción de inversiones, instrumentos de atracción, políticas de atracción, desarrollo económico","La principal brecha abordada es el crecimiento económico bajo, volátil, excluyente y no sostenible con baja creación de empleo formal. Entre los subtemas a estudiar se considera el funcionamiento de las Zonas Económicas Especiales",Se espera que la investigación aporte elementos que permitan a las instituciones públicas tomar en cuenta las características de los distintos instrumentos de atracción de IED y las condiciones que permiten su mejor uso utilizan.,De manera preliminar se ha identificado como sector de interés el reacomodo geográfico de la producción y de las cadenas de valor a nivel mundial ,1,15,"¿Cómo se comportan los flujos de IED, y cómo esta y otras fuentes de financiamiento pueden contribuir a reducir las limitaciones de financiamiento en la región?","INVERSIÓN EXTRANJERA DIRECTA, ESTRATEGIAS EMPRESARIALES, DESARROLLO INDUSTRIAL, POLÍTICAS PÚBLICAS"
CELADE,"Estudios sobre cuentas nacionales de inclusión (National Inclusion Accounts, NIA) en cuatro países de la región (Colombia, Costa Rica, Jamaica y Uruguay). ",CELADE-25/26-1,25/26,"¿Cómo se pueden integrar dimensiones de desigualdad en las cuentas nacionales de transferencias (National Transfer Accounts, NTA)?  ¿Cómo cambian las estimaciones de los impactos económicos del cambio demográfico al incluir dimensiones de desigualdad? ¿Cuáles políticas públicas son efectivas para enfrentar los desafíos y potenciar las oportunidades de las poblaciones que envejecen en situación de mayor vulnerabilidad social y económica?","cuentas nacionales, inclusión, desigualdad, transferencias, cambio demográfico, impactos económicos, políticas públicas, envejecimiento, vulnerabilidad social, economía","La principal brecha abordada es el crecimiento económico bajo, volátil, excluyente. De manera complementaria, se abordan además la alta desigualdad y baja movilidad y cohesión social, así como la alta desigualdad de género y las brechas de protección social en un contexto de espacios fiscales limitados y altos costos del financiamiento ","Se espera fortalecer las capacidades técnicas de las instituciones públicas en la construcción y uso de Cuentas Nacionales de Inclusión (NIA).  Ello a su vez promueve la capacidad de los gobiernos de los países seleccionados para formular políticas y planes públicos, así como ejercicios prospectivos que consideren el futuro cambio demográfico. ","Como sector primario de impacto se identifica el sector de los cuidados y de salud, vinculados a su vez a la industria farmacéutica, a las ciencias de la vida y a la industria de dispositivos médicos. ","1, 2, 3, 9, 10","1, 2, 4, 5",,"CUENTAS NACIONALES, DEMOGRAFÍA, ENVEJECIMIENTO, DESIGUALDAD, POLÍTICAS PÚBLICAS, DESARROLLO INCLUSIVO, PROTECCIÓN SOCIAL"
CELADE,Estudio sobre las contribuciones de la migración internacional al desarrollo sostenible,CELADE-25/26-2,25/26,"¿Cuáles son las contribuciones económicas, sociales y demográficas de las personas migrantes en el desarrollo de los países en América Latina y el Caribe?   ¿Cómo fortalecer las políticas públicas para aprovechar las contribuciones económicas, sociales y demográficas y de la migración internacional?","migración internacional, desarrollo sostenible, contribuciones económicas, contribuciones sociales, contribuciones demográficas, personas migrantes, políticas públicas","Las principales brechas abordadas son aquellas de la migración internacional y del crecimiento económico bajo, volátil, excluyente.  De manera complementaria, se abordan además la alta desigualdad y baja movilidad y cohesión social, así como la alta desigualdad de género y las brechas de protección social en un contexto de espacios fiscales limitados y altos costos del financiamiento","Por medio de la investigación se espera fortalecer las capacidades de las instituciones públicas de tomar en cuenta las contribuciones de las personas migrantes al desarrollo sostenible en las políticas de gobernanza migratoria, en el marco del respecto a los derechos de las personas migrantes.",De manera preliminar se ha identificado como sector primario de impacto el sector de los cuidados (cadenas globales de cuidados).,"1, 2, 3, 7, 9, 10",5,"¿Cuáles son las contribuciones económicas, sociales y demográficas de las personas migrantes en el desarrollo de los países en América Latina y el Caribe?","MIGRACIÓN INTERNACIONAL, DESARROLLO SOSTENIBLE, DEMOGRAFÍA, POLÍTICAS PÚBLICAS, CRECIMIENTO ECONÓMICO, INCLUSIÓN LABORAL, COHESIÓN SOCIAL"
CELADE,Estudio sobre la ultra baja fecundidad en América Latina y el Caribe,CELADE-25/26-3,25/26,"De acuerdo con las cifras más actualizadas, ¿podemos afirmar que la región se encuentra en niveles de ultra baja fecundidad?,  ¿Cuál es el efecto del calendario de la fecundidad en los niveles observados? ¿se puede hablar de postergación? ¿ cómo impactarán estas tendencias en la conformación de las familias, en el envejecimiento poblacional y en los cuidados?  ¿Qué políticas podrían contribuir a que la fecundidad se mantenga en niveles bajos pero no ultra bajos en la región?  ¿Qué implicaciones tendrían estas políticas para su financiamiento?    ","fecundidad, ultra baja fecundidad, calendario de la fecundidad, postergación, conformación de las familias, envejecimiento poblacional, cuidados, políticas poblacionales","La ultra baja fecundidad tiene repercusiones en diversos ámbitos económicos, sociales y culturales y es el principal componente demográfico del envejecimiento poblacional. Su comprensión es clave no solo para analizar las desigualdades, especialmente de género, sino para repensar sociedades productivas, inclusivas y sostenibles en las cuales no se tienen hijos o se tienen muy pocos.","Se espera fortalecer políticas de cuidado, de apoyo a las familias con hijos y otras   sectoriales.  ",Sociedad del cuidado,9,5,¿Cómo afectan los procesos de envejecimiento y baja fecundidad a la demanda y oferta de servicios de cuidados de largo plazo?,"DEMOGRAFÍA, FECUNDIDAD Y SALUD REPRODUCTIVA, ENVEJECIMIENTO, FAMILIAS, POLÍTICAS PÚBLICAS, DESARROLLO SOSTENIBLE, PROYECCIONES DEMOGRÁFICAS"
